#LIBRARY    ENDF/B-VIII.1
#REACTION   AM-241(N,TOT),SIG
#NUCLEUS    Am-241
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 39675.437500 Lin-Lin
 1.10303699e-05 37776.769531 Lin-Lin
 1.11081799e-05 37652.980469 Lin-Lin
 1.21669100e-05 35968.941406 Lin-Lin
 1.23385598e-05 35733.218750 Lin-Lin
 1.34205502e-05 34247.609375 Lin-Lin
 1.37058896e-05 33909.363281 Lin-Lin
 1.48033596e-05 32608.634766 Lin-Lin
 1.52240000e-05 32178.210938 Lin-Lin
 1.63286495e-05 31048.072266 Lin-Lin
 1.69110899e-05 30533.617188 Lin-Lin
 1.80111092e-05 29562.171875 Lin-Lin
 1.87842197e-05 28972.712891 Lin-Lin
 1.98669095e-05 28147.359375 Lin-Lin
 2.08658494e-05 27489.910156 Lin-Lin
 2.19139401e-05 26800.234375 Lin-Lin
 2.31770191e-05 26082.658203 Lin-Lin
 2.41718899e-05 25517.554688 Lin-Lin
 2.57454503e-05 24745.875000 Lin-Lin
 2.66624793e-05 24296.238281 Lin-Lin
 2.85971091e-05 23477.275391 Lin-Lin
 2.94097099e-05 23133.347656 Lin-Lin
 3.17661797e-05 22272.261719 Lin-Lin
 3.24399916e-05 22026.083984 Lin-Lin
 3.52847092e-05 21128.781250 Lin-Lin
 3.57825083e-05 20971.789062 Lin-Lin
 3.91948815e-05 20042.666016 Lin-Lin
 3.94694289e-05 19967.923828 Lin-Lin
 4.35362417e-05 19012.080078 Lin-Lin
 4.38433490e-05 18949.759766 Lin-Lin
 4.80220806e-05 18101.962891 Lin-Lin
 4.90431194e-05 17923.113281 Lin-Lin
 5.29701283e-05 17235.371094 Lin-Lin
 5.48595708e-05 16949.681641 Lin-Lin
 5.84280097e-05 16410.220703 Lin-Lin
 6.13658485e-05 16026.772461 Lin-Lin
 6.44482498e-05 15624.527344 Lin-Lin
 6.86437706e-05 15151.831055 Lin-Lin
 7.10888125e-05 14876.404297 Lin-Lin
 7.73227002e-05 14270.121094 Lin-Lin
 7.84135773e-05 14164.044922 Lin-Lin
 8.64930771e-05 13485.749023 Lin-Lin
 8.71032098e-05 13441.524414 Lin-Lin
 9.54050629e-05 12839.890625 Lin-Lin
 9.81160265e-05 12670.266602 Lin-Lin
 1.05235304e-04 12224.899414 Lin-Lin
 1.10526700e-04 11939.100586 Lin-Lin
 1.16078401e-04 11639.296875 Lin-Lin
 1.25379302e-04 11205.647461 Lin-Lin
 1.28038795e-04 11081.670898 Lin-Lin
 1.41231503e-04 10550.689453 Lin-Lin
 1.42227800e-04 10516.068359 Lin-Lin
 1.55783593e-04 10045.088867 Lin-Lin
 1.62470504e-04 9844.494141 Lin-Lin
 1.71835098e-04 9563.626953 Lin-Lin
 1.86903504e-04 9173.415039 Lin-Lin
 1.89540398e-04 9105.142578 Lin-Lin
 2.09070102e-04 8668.558594 Lin-Lin
 2.15010907e-04 8553.888672 Lin-Lin
 2.30612000e-04 8252.810547 Lin-Lin
 2.49089993e-04 7944.910645 Lin-Lin
 2.54373590e-04 7856.885254 Lin-Lin
 2.80583510e-04 7479.852539 Lin-Lin
 2.90591910e-04 7355.536133 Lin-Lin
 3.09493887e-04 7120.794922 Lin-Lin
 3.41383187e-04 6778.832520 Lin-Lin
 3.43791413e-04 6756.533203 Lin-Lin
 3.76558310e-04 6453.179688 Lin-Lin
 4.09579312e-04 6189.196777 Lin-Lin
 4.15357703e-04 6143.010254 Lin-Lin
 4.58154886e-04 5847.616699 Lin-Lin
 4.98331327e-04 5608.147461 Lin-Lin
 5.05361822e-04 5566.250000 Lin-Lin
 5.57432824e-04 5298.272949 Lin-Lin
 6.14868884e-04 5042.998047 Lin-Lin
 6.78223209e-04 4799.859863 Lin-Lin
 7.48105173e-04 4568.230469 Lin-Lin
 7.74790125e-04 4491.834961 Lin-Lin
 8.25187715e-04 4347.579590 Lin-Lin
 9.10212519e-04 4137.368652 Lin-Lin
 1.00399798e-03 3937.079590 Lin-Lin
 1.10744685e-03 3746.268311 Lin-Lin
 1.22155494e-03 3564.444336 Lin-Lin
 1.34742016e-03 3391.171875 Lin-Lin
 1.35692500e-03 3379.866455 Lin-Lin
 1.48625416e-03 3226.065918 Lin-Lin
 1.63939327e-03 3068.707520 Lin-Lin
 1.80831144e-03 2918.719482 Lin-Lin
 1.92603073e-03 2828.387451 Lin-Lin
 1.99463428e-03 2775.753662 Lin-Lin
 2.20015529e-03 2639.480225 Lin-Lin
 2.42685270e-03 2509.561035 Lin-Lin
 2.67690816e-03 2385.690674 Lin-Lin
 2.95272865e-03 2267.579102 Lin-Lin
 3.25696869e-03 2154.973389 Lin-Lin
 3.59255681e-03 2047.591553 Lin-Lin
 3.96272307e-03 1945.182861 Lin-Lin
