#LIBRARY    ENDF/B-VIII.1
#REACTION   AM-241(N,G)AM-242,SIG
#NUCLEUS    Am-241
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 39416.597656 Lin-Lin
 1.10303699e-05 37530.171875 Lin-Lin
 1.21669100e-05 35733.996094 Lin-Lin
 1.34205502e-05 34023.753906 Lin-Lin
 1.48033596e-05 32395.332031 Lin-Lin
 1.63286495e-05 30844.812500 Lin-Lin
 1.80111092e-05 29368.466797 Lin-Lin
 1.98669095e-05 27962.746094 Lin-Lin
 2.19139401e-05 26624.271484 Lin-Lin
 2.41718899e-05 25349.820312 Lin-Lin
 2.66624793e-05 24136.332031 Lin-Lin
 2.94097099e-05 22980.884766 Lin-Lin
 3.24399916e-05 21880.701172 Lin-Lin
 3.57825083e-05 20833.136719 Lin-Lin
 3.94694289e-05 19835.671875 Lin-Lin
 4.35362417e-05 18885.906250 Lin-Lin
 4.80220806e-05 17981.558594 Lin-Lin
 5.29701283e-05 17120.451172 Lin-Lin
 5.84280097e-05 16300.515625 Lin-Lin
 6.44482498e-05 15519.778320 Lin-Lin
 7.10888125e-05 14776.364258 Lin-Lin
 7.84135773e-05 14068.483398 Lin-Lin
 8.64930771e-05 13394.434570 Lin-Lin
 9.54050629e-05 12752.596680 Lin-Lin
 1.05235304e-04 12141.425781 Lin-Lin
 1.16078401e-04 11559.453125 Lin-Lin
 1.28038795e-04 11005.279297 Lin-Lin
 1.41231503e-04 10477.571289 Lin-Lin
 1.55783593e-04 9975.059570 Lin-Lin
 1.71835098e-04 9496.536133 Lin-Lin
 1.89540398e-04 9040.851562 Lin-Lin
 2.09070102e-04 8606.908203 Lin-Lin
 2.30612000e-04 8193.665039 Lin-Lin
 2.54373590e-04 7800.126465 Lin-Lin
 2.80583510e-04 7425.346680 Lin-Lin
 3.09493887e-04 7068.425781 Lin-Lin
 3.41383187e-04 6728.504395 Lin-Lin
 3.76558310e-04 6404.766602 Lin-Lin
 4.15357703e-04 6096.433594 Lin-Lin
 4.58154886e-04 5802.764648 Lin-Lin
 5.05361822e-04 5523.053711 Lin-Lin
 5.57432824e-04 5256.628906 Lin-Lin
