#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,TOT),SIG
#NUCLEUS    Gd-155
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 2473633.250000 Lin-Lin
 1.10303699e-05 2355303.000000 Lin-Lin
 1.21669100e-05 2242636.500000 Lin-Lin
 1.34205502e-05 2135363.250000 Lin-Lin
 1.35152204e-05 2128370.500000 Lin-Lin
 1.48033596e-05 2033225.000000 Lin-Lin
 1.50122096e-05 2019909.125000 Lin-Lin
 1.63286495e-05 1935976.250000 Lin-Lin
 1.66758291e-05 1916869.250000 Lin-Lin
 1.80111092e-05 1843383.125000 Lin-Lin
 1.85229001e-05 1819070.125000 Lin-Lin
 1.98669095e-05 1755222.750000 Lin-Lin
 2.05755696e-05 1726163.625000 Lin-Lin
 2.19139401e-05 1671283.375000 Lin-Lin
 2.28545905e-05 1637988.875000 Lin-Lin
 2.41718899e-05 1591363.125000 Lin-Lin
 2.53872804e-05 1554229.875000 Lin-Lin
 2.66624793e-05 1515269.750000 Lin-Lin
 2.81992598e-05 1474741.750000 Lin-Lin
 2.94097099e-05 1442820.125000 Lin-Lin
 3.13242490e-05 1399238.250000 Lin-Lin
 3.24399916e-05 1373840.250000 Lin-Lin
 3.47938294e-05 1327590.250000 Lin-Lin
 3.57825083e-05 1308164.125000 Lin-Lin
 3.86496104e-05 1259537.875000 Lin-Lin
 3.94694289e-05 1245633.875000 Lin-Lin
 4.29305692e-05 1194965.500000 Lin-Lin
 4.35362417e-05 1186099.000000 Lin-Lin
 4.76880414e-05 1133637.375000 Lin-Lin
 4.80220806e-05 1129416.500000 Lin-Lin
 5.29701283e-05 1075450.000000 Lin-Lin
 5.84280097e-05 1024069.812500 Lin-Lin
 5.88401708e-05 1020720.750000 Lin-Lin
 6.44482498e-05 975152.187500 Lin-Lin
 6.53574971e-05 968775.250000 Lin-Lin
 7.10888125e-05 928579.625000 Lin-Lin
 7.31088294e-05 916351.562500 Lin-Lin
 7.84135773e-05 884240.062500 Lin-Lin
 8.17794498e-05 866654.250000 Lin-Lin
 8.64930771e-05 842026.937500 Lin-Lin
 9.14783886e-05 819545.750000 Lin-Lin
 9.54050629e-05 801838.687500 Lin-Lin
 1.02327598e-04 774895.500000 Lin-Lin
 1.05235304e-04 763578.625000 Lin-Lin
 1.14463597e-04 732579.125000 Lin-Lin
 1.16078401e-04 727154.812500 Lin-Lin
 1.28038795e-04 692479.625000 Lin-Lin
 1.28942003e-04 690219.687500 Lin-Lin
 1.41231503e-04 659469.812500 Lin-Lin
 1.45244703e-04 650803.562500 Lin-Lin
 1.55783593e-04 628045.750000 Lin-Lin
 1.63616598e-04 613448.062500 Lin-Lin
 1.71835098e-04 598132.062500 Lin-Lin
 1.85603407e-04 575988.500000 Lin-Lin
 1.89540398e-04 569656.687500 Lin-Lin
 2.09070102e-04 542551.187500 Lin-Lin
 2.10544895e-04 540784.812500 Lin-Lin
 2.30612000e-04 516750.500000 Lin-Lin
 2.40510897e-04 506519.718750 Lin-Lin
 2.54373590e-04 492192.406250 Lin-Lin
 2.74755410e-04 474015.468750 Lin-Lin
 2.80583510e-04 468817.875000 Lin-Lin
 3.09493887e-04 446570.750000 Lin-Lin
 3.16074293e-04 442201.593750 Lin-Lin
 3.41383187e-04 425397.531250 Lin-Lin
 3.66153894e-04 411207.406250 Lin-Lin
 3.76558310e-04 405247.218750 Lin-Lin
 4.15357703e-04 386071.406250 Lin-Lin
 4.27160296e-04 381039.062500 Lin-Lin
 4.58154886e-04 367823.968750 Lin-Lin
 5.01846487e-04 351753.875000 Lin-Lin
 5.05361822e-04 350460.937500 Lin-Lin
 5.57432824e-04 333940.656250 Lin-Lin
 5.97879873e-04 322872.281250 Lin-Lin
 6.14868884e-04 318223.281250 Lin-Lin
 6.78223209e-04 303271.093750 Lin-Lin
 7.22374825e-04 294284.875000 Lin-Lin
 7.48105173e-04 289048.000000 Lin-Lin
 8.25187715e-04 275519.843750 Lin-Lin
 8.85063026e-04 266459.531250 Lin-Lin
 9.10212519e-04 262653.968750 Lin-Lin
 1.00399798e-03 250419.484375 Lin-Lin
 1.10744685e-03 238786.796875 Lin-Lin
 1.11525902e-03 238029.671875 Lin-Lin
 1.22155494e-03 227728.015625 Lin-Lin
 1.34742016e-03 217216.328125 Lin-Lin
 1.44518865e-03 210181.281250 Lin-Lin
 1.48625416e-03 207226.375000 Lin-Lin
 1.49673840e-03 206576.515625 Lin-Lin
 1.63939327e-03 197734.109375 Lin-Lin
 1.66252221e-03 196506.015625 Lin-Lin
 1.82106742e-03 188087.687500 Lin-Lin
 1.84675935e-03 186925.531250 Lin-Lin
 1.93952187e-03 182729.515625 Lin-Lin
 1.96688506e-03 181491.781250 Lin-Lin
 2.02277489e-03 178963.687500 Lin-Lin
 2.05131271e-03 177864.296875 Lin-Lin
 2.24693469e-03 170328.156250 Lin-Lin
 2.27863481e-03 169288.390625 Lin-Lin
 2.49581272e-03 162164.937500 Lin-Lin
 2.53102416e-03 161181.906250 Lin-Lin
 2.77239340e-03 154443.421875 Lin-Lin
 2.79181311e-03 153982.125000 Lin-Lin
 2.81150686e-03 153514.328125 Lin-Lin
 3.07947304e-03 147149.140625 Lin-Lin
 3.12291901e-03 146271.375000 Lin-Lin
 3.42073385e-03 140254.421875 Lin-Lin
 3.46899428e-03 139425.421875 Lin-Lin
 3.79962591e-03 133745.968750 Lin-Lin
 3.85323167e-03 132963.375000 Lin-Lin
 4.22069244e-03 127598.796875 Lin-Lin
 4.28023841e-03 126860.265625 Lin-Lin
 4.68819030e-03 121800.648438 Lin-Lin
 4.75433236e-03 121103.992188 Lin-Lin
 5.20772580e-03 116328.562500 Lin-Lin
 5.28119737e-03 115671.585938 Lin-Lin
 5.78455115e-03 111170.593750 Lin-Lin
 5.86616062e-03 110551.156250 Lin-Lin
 6.42558280e-03 106304.992188 Lin-Lin
 6.51623635e-03 105720.906250 Lin-Lin
 7.13730184e-03 101719.351562 Lin-Lin
 7.23799644e-03 101168.484375 Lin-Lin
 7.87270814e-03 97696.156250 Lin-Lin
 7.92824291e-03 97392.343750 Lin-Lin
 8.09641462e-03 96614.984375 Lin-Lin
 8.86852294e-03 93045.984375 Lin-Lin
 9.05663986e-03 92314.351562 Lin-Lin
 9.92031954e-03 88955.273438 Lin-Lin
 1.02022095e-02 88031.007812 Lin-Lin
 1.10968575e-02 85097.617188 Lin-Lin
 1.14921182e-02 84001.304688 Lin-Lin
 1.24129318e-02 81447.304688 Lin-Lin
 1.29457507e-02 80197.273438 Lin-Lin
 1.39823509e-02 77765.343750 Lin-Lin
 1.43796662e-02 76974.648438 Lin-Lin
 1.45825371e-02 76570.890625 Lin-Lin
 1.57509726e-02 74245.484375 Lin-Lin
 1.65421423e-02 72900.367188 Lin-Lin
 1.78675912e-02 70646.875000 Lin-Lin
