#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,G)GD-156,SIG
#NUCLEUS    Gd-155
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 2473439.750000 Lin-Lin
 1.10303699e-05 2355118.250000 Lin-Lin
 1.21669100e-05 2242460.250000 Lin-Lin
 1.34205502e-05 2135195.000000 Lin-Lin
 1.48033596e-05 2033064.375000 Lin-Lin
 1.63286495e-05 1935822.750000 Lin-Lin
 1.80111092e-05 1843236.375000 Lin-Lin
 1.98669095e-05 1755082.625000 Lin-Lin
 2.19139401e-05 1671149.500000 Lin-Lin
 2.41718899e-05 1591235.000000 Lin-Lin
 2.66624793e-05 1515147.125000 Lin-Lin
 2.94097099e-05 1442702.875000 Lin-Lin
 3.24399916e-05 1373727.875000 Lin-Lin
 3.57825083e-05 1308056.500000 Lin-Lin
 3.94694289e-05 1245530.750000 Lin-Lin
 4.35362417e-05 1186000.125000 Lin-Lin
 4.80220806e-05 1129321.625000 Lin-Lin
 5.29701283e-05 1075358.875000 Lin-Lin
 5.84280097e-05 1023982.187500 Lin-Lin
 6.44482498e-05 975067.875000 Lin-Lin
 7.10888125e-05 928498.437500 Lin-Lin
 7.84135773e-05 884161.812500 Lin-Lin
 8.64930771e-05 841951.437500 Lin-Lin
 9.54050629e-05 801765.750000 Lin-Lin
 1.05235304e-04 763508.187500 Lin-Lin
 1.16078401e-04 727086.625000 Lin-Lin
 1.28038795e-04 692413.625000 Lin-Lin
 1.41231503e-04 659405.687500 Lin-Lin
 1.55783593e-04 627983.500000 Lin-Lin
 1.71835098e-04 598071.500000 Lin-Lin
 1.89540398e-04 569597.750000 Lin-Lin
 2.09070102e-04 542493.750000 Lin-Lin
 2.30612000e-04 516694.343750 Lin-Lin
 2.54373590e-04 492137.500000 Lin-Lin
 2.80583510e-04 468764.125000 Lin-Lin
 3.09493887e-04 446518.031250 Lin-Lin
 3.41383187e-04 425345.750000 Lin-Lin
 3.76558310e-04 405196.312500 Lin-Lin
 4.15357703e-04 386021.281250 Lin-Lin
 4.58154886e-04 367774.531250 Lin-Lin
 5.05361822e-04 350412.187500 Lin-Lin
 5.57432824e-04 333892.468750 Lin-Lin
 6.14868884e-04 318175.625000 Lin-Lin
 6.78223209e-04 303223.875000 Lin-Lin
 7.48105173e-04 289001.187500 Lin-Lin
 8.25187715e-04 275473.375000 Lin-Lin
 9.10212519e-04 262607.843750 Lin-Lin
 1.00399798e-03 250373.593750 Lin-Lin
 1.10744685e-03 238741.171875 Lin-Lin
 1.22155494e-03 227682.546875 Lin-Lin
 1.34742016e-03 217171.015625 Lin-Lin
 1.48625416e-03 207181.203125 Lin-Lin
 1.63939327e-03 197688.968750 Lin-Lin
 1.82106742e-03 188042.609375 Lin-Lin
 2.02277489e-03 178918.640625 Lin-Lin
