#LIBRARY    ENDF/B-VIII.1
#REACTION   U-235(N,TOT),SIG
#NUCLEUS    U-235
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 36944.886719 Lin-Lin
 1.10303699e-05 35177.085938 Lin-Lin
 1.11081799e-05 35061.824219 Lin-Lin
 1.21669100e-05 33493.875000 Lin-Lin
 1.23385598e-05 33274.390625 Lin-Lin
 1.34205502e-05 31891.207031 Lin-Lin
 1.37058896e-05 31576.267578 Lin-Lin
 1.48033596e-05 30365.228516 Lin-Lin
 1.52240000e-05 29964.468750 Lin-Lin
 1.63286495e-05 28912.267578 Lin-Lin
 1.69110899e-05 28433.275391 Lin-Lin
 1.80111092e-05 27528.832031 Lin-Lin
 1.87842197e-05 26980.011719 Lin-Lin
 1.98669095e-05 26211.595703 Lin-Lin
 2.08658494e-05 25599.480469 Lin-Lin
 2.19139401e-05 24957.388672 Lin-Lin
 2.31770191e-05 24289.302734 Lin-Lin
 2.41718899e-05 23763.197266 Lin-Lin
 2.57454503e-05 23044.751953 Lin-Lin
 2.66624793e-05 22626.150391 Lin-Lin
 2.85971091e-05 21863.695312 Lin-Lin
 2.94097099e-05 21543.509766 Lin-Lin
 3.17661797e-05 20741.855469 Lin-Lin
 3.24399916e-05 20512.675781 Lin-Lin
 3.52847092e-05 19677.320312 Lin-Lin
 3.57825083e-05 19531.169922 Lin-Lin
 3.91948815e-05 18666.207031 Lin-Lin
 3.94694289e-05 18596.628906 Lin-Lin
 4.35362417e-05 17706.806641 Lin-Lin
 4.80220806e-05 16859.580078 Lin-Lin
 4.86995887e-05 16749.101562 Lin-Lin
 5.29701283e-05 16052.891602 Lin-Lin
 5.44752984e-05 15841.032227 Lin-Lin
 5.84280097e-05 15284.799805 Lin-Lin
 6.09359995e-05 14980.086914 Lin-Lin
 6.44482498e-05 14553.457031 Lin-Lin
 6.81629390e-05 14163.884766 Lin-Lin
 7.10888125e-05 13857.105469 Lin-Lin
 7.62469936e-05 13390.161133 Lin-Lin
 7.84135773e-05 13194.073242 Lin-Lin
 8.58914282e-05 12609.758789 Lin-Lin
 8.64930771e-05 12562.756836 Lin-Lin
 9.54050629e-05 11961.661133 Lin-Lin
 9.67510496e-05 11883.279297 Lin-Lin
 1.05235304e-04 11389.328125 Lin-Lin
 1.08988999e-04 11200.644531 Lin-Lin
 1.16078401e-04 10844.373047 Lin-Lin
 1.23635007e-04 10516.508789 Lin-Lin
 1.28038795e-04 10325.480469 Lin-Lin
 1.40249103e-04 9868.189453 Lin-Lin
 1.41231503e-04 9831.405273 Lin-Lin
 1.55783593e-04 9360.981445 Lin-Lin
 1.60210198e-04 9237.433594 Lin-Lin
 1.71835098e-04 8913.055664 Lin-Lin
 1.83021300e-04 8643.562500 Lin-Lin
 1.89540398e-04 8486.542969 Lin-Lin
 2.09070102e-04 8080.421387 Lin-Lin
 2.10544895e-04 8053.942383 Lin-Lin
 2.30612000e-04 7693.740723 Lin-Lin
 2.43904098e-04 7487.745605 Lin-Lin
 2.54373590e-04 7325.531738 Lin-Lin
 2.80583510e-04 6974.918457 Lin-Lin
 2.84542009e-04 6929.198730 Lin-Lin
 3.09493887e-04 6641.079590 Lin-Lin
 3.34292301e-04 6393.851074 Lin-Lin
 3.41383187e-04 6323.174316 Lin-Lin
 3.76558310e-04 6020.471191 Lin-Lin
 3.98262491e-04 5859.206055 Lin-Lin
 4.15357703e-04 5732.216309 Lin-Lin
 4.58154886e-04 5457.728516 Lin-Lin
 4.81191586e-04 5330.157715 Lin-Lin
 5.05361822e-04 5196.340820 Lin-Lin
 5.57432824e-04 4947.427734 Lin-Lin
 5.89562289e-04 4814.813477 Lin-Lin
 6.14868884e-04 4710.384277 Lin-Lin
 6.78223209e-04 4484.650391 Lin-Lin
 7.37697585e-04 4301.672363 Lin-Lin
 7.48105173e-04 4269.659668 Lin-Lin
 8.25187715e-04 4064.931641 Lin-Lin
 9.10212519e-04 3869.933594 Lin-Lin
 9.49282898e-04 3792.556641 Lin-Lin
 1.00399798e-03 3684.221191 Lin-Lin
 1.10744685e-03 3507.344238 Lin-Lin
 1.22155494e-03 3338.859131 Lin-Lin
 1.26512768e-03 3283.296631 Lin-Lin
 1.34742016e-03 3178.384766 Lin-Lin
 1.48625416e-03 3025.526611 Lin-Lin
 1.63939327e-03 2879.904297 Lin-Lin
 1.77075085e-03 2772.017334 Lin-Lin
 1.80831144e-03 2741.174561 Lin-Lin
 1.99463428e-03 2609.022949 Lin-Lin
 2.20015529e-03 2483.109619 Lin-Lin
 2.42685270e-03 2363.132568 Lin-Lin
 2.63966713e-03 2265.832275 Lin-Lin
 2.67690816e-03 2248.809082 Lin-Lin
 2.95272865e-03 2139.886230 Lin-Lin
 3.25696869e-03 2036.084961 Lin-Lin
 3.59255681e-03 1937.157471 Lin-Lin
 3.96272307e-03 1842.865967 Lin-Lin
 4.34062490e-03 1759.673218 Lin-Lin
 4.37102979e-03 1752.981323 Lin-Lin
 4.82140761e-03 1667.299561 Lin-Lin
 5.31819044e-03 1585.595337 Lin-Lin
