#LIBRARY    ENDF/B-VIII.1
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 5458.028809 Lin-Lin
 1.10303699e-05 5196.866211 Lin-Lin
 1.21669100e-05 4948.201172 Lin-Lin
 1.34205502e-05 4711.435547 Lin-Lin
 1.48033596e-05 4485.999512 Lin-Lin
 1.63286495e-05 4271.351562 Lin-Lin
 1.80111092e-05 4066.975098 Lin-Lin
 1.98669095e-05 3872.378906 Lin-Lin
 2.19139401e-05 3687.094971 Lin-Lin
 2.41718899e-05 3510.677734 Lin-Lin
 2.66624793e-05 3342.702881 Lin-Lin
 2.94097099e-05 3182.766357 Lin-Lin
 3.24399916e-05 3030.483643 Lin-Lin
 3.57825083e-05 2885.488525 Lin-Lin
 3.94694289e-05 2747.432617 Lin-Lin
 4.35362417e-05 2615.983398 Lin-Lin
 4.80220806e-05 2490.825195 Lin-Lin
 5.29701283e-05 2371.656738 Lin-Lin
 5.84280097e-05 2258.191650 Lin-Lin
 6.44482498e-05 2150.156982 Lin-Lin
 7.10888125e-05 2047.293091 Lin-Lin
 7.84135773e-05 1949.352295 Lin-Lin
 8.64930771e-05 1856.099243 Lin-Lin
 9.54050629e-05 1767.309692 Lin-Lin
 1.05235304e-04 1682.770142 Lin-Lin
 1.16078401e-04 1602.277222 Lin-Lin
 1.28038795e-04 1525.637329 Lin-Lin
 1.41231503e-04 1452.666260 Lin-Lin
 1.55783593e-04 1383.188477 Lin-Lin
 1.71835098e-04 1317.036865 Lin-Lin
 1.89540398e-04 1254.052368 Lin-Lin
 2.09070102e-04 1194.083496 Lin-Lin
 2.30612000e-04 1136.985962 Lin-Lin
 2.54373590e-04 1082.622559 Lin-Lin
 2.80583510e-04 1030.862549 Lin-Lin
 3.09493887e-04 981.581238 Lin-Lin
 3.41383187e-04 934.660278 Lin-Lin
 3.76558310e-04 889.986755 Lin-Lin
 4.15357703e-04 847.453186 Lin-Lin
 4.58154886e-04 806.957214 Lin-Lin
 5.05361822e-04 768.401428 Lin-Lin
 5.57432824e-04 731.693054 Lin-Lin
 6.14868884e-04 696.743652 Lin-Lin
 6.78223209e-04 663.469238 Lin-Lin
 7.48105173e-04 631.789551 Lin-Lin
 8.25187715e-04 601.628296 Lin-Lin
 9.10212519e-04 572.912781 Lin-Lin
 1.00399798e-03 545.573792 Lin-Lin
 1.10744685e-03 519.545288 Lin-Lin
 1.22155494e-03 494.764435 Lin-Lin
 1.34742016e-03 471.171265 Lin-Lin
 1.48625416e-03 448.708557 Lin-Lin
 1.63939327e-03 427.321777 Lin-Lin
 1.80831144e-03 406.958923 Lin-Lin
 1.99463428e-03 387.570221 Lin-Lin
 2.20015529e-03 369.108124 Lin-Lin
 2.42685270e-03 351.527222 Lin-Lin
 2.67690816e-03 334.783875 Lin-Lin
 2.95272865e-03 318.836365 Lin-Lin
 3.25696869e-03 303.644318 Lin-Lin
 3.59255681e-03 289.168579 Lin-Lin
 3.96272307e-03 275.370605 Lin-Lin
 4.37102979e-03 262.212067 Lin-Lin
 4.82140761e-03 249.655045 Lin-Lin
 5.31819044e-03 237.662247 Lin-Lin
 5.86616062e-03 226.197617 Lin-Lin
 6.47059223e-03 215.226273 Lin-Lin
 7.13730184e-03 204.714615 Lin-Lin
 7.89790321e-03 194.308624 Lin-Lin
 8.73014051e-03 184.425858 Lin-Lin
 9.69712064e-03 174.463959 Lin-Lin
 1.06962826e-02 165.499649 Lin-Lin
 1.17983948e-02 156.833176 Lin-Lin
 1.30140651e-02 148.447861 Lin-Lin
 1.43549955e-02 140.336349 Lin-Lin
 1.58340894e-02 132.501694 Lin-Lin
 1.73440967e-02 125.483940 Lin-Lin
 1.89971719e-02 118.736588 Lin-Lin
 2.08088215e-02 112.271210 Lin-Lin
 2.27921214e-02 106.107613 Lin-Lin
 2.47907992e-02 100.688431 Lin-Lin
 2.52202768e-02 99.613983 Lin-Lin
 2.52999999e-02 99.417778 Lin-Lin
 2.75185965e-02 94.333786 Lin-Lin
 2.99317464e-02 89.523254 Lin-Lin
 3.25565077e-02 84.980133 Lin-Lin
