#LIBRARY    ENDF/B-VII.1
#REACTION   U-235(N,F`),SIG
#NUCLEUS    U-235
#MF         3
#MT         19
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 9.99999975e-06 31388.337891 Lin-Lin
 1.10303699e-05 29886.236328 Lin-Lin
 1.21669100e-05 28456.003906 Lin-Lin
 1.34205502e-05 27094.203125 Lin-Lin
 1.48033596e-05 25797.556641 Lin-Lin
 1.63286495e-05 24562.947266 Lin-Lin
 1.80111092e-05 23387.408203 Lin-Lin
 1.98669095e-05 22268.109375 Lin-Lin
 2.19139401e-05 21202.361328 Lin-Lin
 2.41718899e-05 20187.599609 Lin-Lin
 2.66624793e-05 19221.384766 Lin-Lin
 2.94097099e-05 18301.392578 Lin-Lin
 3.24399916e-05 17425.412109 Lin-Lin
 3.57825083e-05 16591.333984 Lin-Lin
 3.94694289e-05 15797.156250 Lin-Lin
 4.35362417e-05 15040.966797 Lin-Lin
 4.80220806e-05 14320.947266 Lin-Lin
 5.29701283e-05 13635.367188 Lin-Lin
 5.84280097e-05 12982.576172 Lin-Lin
 6.44482498e-05 12361.005859 Lin-Lin
 7.10888125e-05 11769.162109 Lin-Lin
 7.84135773e-05 11205.619141 Lin-Lin
 8.64930771e-05 10669.024414 Lin-Lin
 9.54050629e-05 10158.085938 Lin-Lin
 1.05235304e-04 9671.576172 Lin-Lin
 1.16078401e-04 9208.324219 Lin-Lin
 1.28038795e-04 8767.216797 Lin-Lin
 1.41231503e-04 8347.193359 Lin-Lin
 1.55783593e-04 7947.242188 Lin-Lin
 1.71835098e-04 7566.403809 Lin-Lin
 1.89540398e-04 7203.761230 Lin-Lin
 2.09070102e-04 6858.442871 Lin-Lin
 2.30612000e-04 6529.617676 Lin-Lin
 2.54373590e-04 6216.496094 Lin-Lin
 2.80583510e-04 5918.324707 Lin-Lin
 3.09493887e-04 5634.387207 Lin-Lin
 3.41383187e-04 5364.000000 Lin-Lin
 3.76558310e-04 5106.513672 Lin-Lin
 4.15357703e-04 4861.309082 Lin-Lin
 4.58154886e-04 4627.796875 Lin-Lin
 5.05361822e-04 4405.416504 Lin-Lin
 5.57432824e-04 4193.632324 Lin-Lin
 6.14868884e-04 3991.937012 Lin-Lin
 6.78223209e-04 3799.844727 Lin-Lin
 7.48105173e-04 3616.895020 Lin-Lin
 8.25187715e-04 3442.648438 Lin-Lin
 9.10212519e-04 3276.686279 Lin-Lin
 1.00399798e-03 3118.611328 Lin-Lin
 1.10744685e-03 2968.043945 Lin-Lin
 1.22155494e-03 2824.623535 Lin-Lin
 1.34742016e-03 2688.006836 Lin-Lin
 1.48625416e-03 2557.866943 Lin-Lin
 1.63939327e-03 2433.893311 Lin-Lin
 1.80831144e-03 2315.790039 Lin-Lin
 1.99463428e-03 2203.277344 Lin-Lin
 2.20015529e-03 2096.088623 Lin-Lin
 2.42685270e-03 1993.972046 Lin-Lin
 2.67690816e-03 1896.690430 Lin-Lin
 2.95272865e-03 1804.019287 Lin-Lin
 3.25696869e-03 1715.745850 Lin-Lin
 3.59255681e-03 1631.664673 Lin-Lin
 3.96272307e-03 1551.573120 Lin-Lin
 4.37102979e-03 1475.269043 Lin-Lin
 4.82140761e-03 1402.555298 Lin-Lin
 5.31819044e-03 1333.251343 Lin-Lin
 5.86616062e-03 1267.201416 Lin-Lin
 6.47059223e-03 1204.272827 Lin-Lin
 7.13730184e-03 1144.347534 Lin-Lin
 7.87270814e-03 1087.296143 Lin-Lin
 8.68388731e-03 1033.003296 Lin-Lin
 9.57864895e-03 981.350891 Lin-Lin
 1.05656041e-02 932.211853 Lin-Lin
 1.16542513e-02 885.440918 Lin-Lin
 1.28550697e-02 840.893005 Lin-Lin
 1.41796172e-02 798.450439 Lin-Lin
 1.56406406e-02 758.011780 Lin-Lin
 1.72522049e-02 719.467102 Lin-Lin
 1.90298203e-02 682.698364 Lin-Lin
 2.09905952e-02 647.591919 Lin-Lin
 2.31534019e-02 614.052490 Lin-Lin
 2.52418797e-02 585.733582 Lin-Lin
 2.52999999e-02 584.994019 Lin-Lin
 2.79068351e-02 554.104797 Lin-Lin
 3.07822693e-02 524.438416 Lin-Lin
 3.39539796e-02 495.986694 Lin-Lin
 3.74524966e-02 468.723816 Lin-Lin
 4.13114876e-02 442.522675 Lin-Lin
 4.52511273e-02 419.069336 Lin-Lin
 4.95640337e-02 396.501556 Lin-Lin
 5.42906709e-02 374.789856 Lin-Lin
 5.94651438e-02 353.946777 Lin-Lin
 6.51359931e-02 333.944336 Lin-Lin
 7.13441372e-02 314.804474 Lin-Lin
 7.76004195e-02 297.894043 Lin-Lin
 8.44053254e-02 281.726135 Lin-Lin
 9.18069631e-02 266.318390 Lin-Lin
 9.98576581e-02 251.697266 Lin-Lin
 1.07858814e-01 239.014404 Lin-Lin
 1.16495356e-01 227.075073 Lin-Lin
 1.25829622e-01 215.924026 Lin-Lin
 1.34959772e-01 206.551697 Lin-Lin
 1.44752413e-01 197.997849 Lin-Lin
 1.54168099e-01 191.106415 Lin-Lin
 1.64204285e-01 185.105606 Lin-Lin
 1.73668742e-01 180.668274 Lin-Lin
 1.83678716e-01 177.245178 Lin-Lin
 1.92904875e-01 175.249649 Lin-Lin
 2.02604413e-01 174.364807 Lin-Lin
 2.04801694e-01 174.338165 Lin-Lin
 2.15099409e-01 175.062820 Lin-Lin
 2.25903839e-01 177.266708 Lin-Lin
 2.37262607e-01 180.945404 Lin-Lin
 2.61709422e-01 190.693451 Lin-Lin
 2.71031290e-01 193.410736 Lin-Lin
 2.79155284e-01 194.534988 Lin-Lin
 2.82006592e-01 194.586121 Lin-Lin
 2.88002551e-01 194.049057 Lin-Lin
 2.94111580e-01 192.573639 Lin-Lin
 3.00364941e-01 190.112320 Lin-Lin
 3.08899939e-01 185.356659 Lin-Lin
 3.17677468e-01 179.126785 Lin-Lin
 3.31313610e-01 167.828705 Lin-Lin
 3.52864504e-01 149.202026 Lin-Lin
 3.65451157e-01 139.144409 Lin-Lin
 3.75835627e-01 131.586243 Lin-Lin
 3.86515170e-01 124.549782 Lin-Lin
 3.97498161e-01 118.062836 Lin-Lin
 4.08793241e-01 112.117699 Lin-Lin
 4.20409292e-01 106.685677 Lin-Lin
 4.32355404e-01 101.727364 Lin-Lin
 4.44640964e-01 97.199478 Lin-Lin
 4.60478723e-01 92.083000 Lin-Lin
 4.76903975e-01 87.487190 Lin-Lin
 4.93890911e-01 83.356224 Lin-Lin
 5.11507988e-01 79.619751 Lin-Lin
 5.29727459e-01 76.239204 Lin-Lin
 5.52465796e-01 72.586540 Lin-Lin
 5.76180100e-01 69.326241 Lin-Lin
 6.00912392e-01 66.417206 Lin-Lin
 6.26706243e-01 63.829407 Lin-Lin
 6.53607309e-01 61.543518 Lin-Lin
 6.81663096e-01 59.554901 Lin-Lin
 7.10923195e-01 57.863270 Lin-Lin
 7.41439223e-01 56.482250 Lin-Lin
 7.73265183e-01 55.460121 Lin-Lin
 8.00847530e-01 54.926239 Lin-Lin
 8.29373062e-01 54.746670 Lin-Lin
 8.53760898e-01 54.932026 Lin-Lin
 8.78020883e-01 55.478111 Lin-Lin
 8.96689236e-01 56.188484 Lin-Lin
 9.15709555e-01 57.222294 Lin-Lin
 9.35179174e-01 58.670326 Lin-Lin
 9.48372900e-01 59.919876 Lin-Lin
 9.61752713e-01 61.449318 Lin-Lin
 9.75321293e-01 63.315186 Lin-Lin
 9.89081323e-01 65.587265 Lin-Lin
 1.00303555e+00 68.350410 Lin-Lin
 1.01362395e+00 70.803001 Lin-Lin
 1.02431154e+00 73.629547 Lin-Lin
 1.03514993e+00 76.889862 Lin-Lin
 1.04609036e+00 80.606796 Lin-Lin
 1.05341780e+00 83.336723 Lin-Lin
 1.06827974e+00 89.405579 Lin-Lin
 1.09481430e+00 100.906845 Lin-Lin
 1.10557437e+00 104.901321 Lin-Lin
 1.11251342e+00 106.894981 Lin-Lin
 1.11839926e+00 108.076950 Lin-Lin
